MUNICIPIO_CODIGO;ANO;MES;TIPO_EQP;TOTAL_EQUIPES
110034;2019;12;4;2
110034;2020;12;70;5
110034;2021;12;70;5
110034;2022;12;70;5
110037;2014;12;1;2
110037;2015;12;1;2
110037;2016;12;1;3
110037;2017;12;1;3
110037;2018;12;1;2
110037;2018;12;4;1
110037;2019;12;1;5
110037;2020;12;70;6
110037;2021;12;70;6
110037;2022;12;70;6
110040;2013;12;1;2
110040;2013;12;4;2
110040;2014;12;1;4
110040;2014;12;4;1
110040;2015;12;1;3
110040;2015;12;4;2
110040;2016;12;1;4
110040;2016;12;4;1
110040;2017;12;1;5
110040;2017;12;4;1
110040;2018;12;1;5
110040;2018;12;4;1
110040;2019;12;1;5
110040;2019;12;4;1
110040;2020;12;70;6
110040;2021;12;70;6
110040;2022;12;70;6
110045;2013;12;4;4
110045;2014;12;4;4
110045;2015;12;1;1
110045;2015;12;4;4
110045;2016;12;1;3
110045;2016;12;4;3
110045;2017;12;1;3
110045;2017;12;4;3
110045;2018;12;1;3
110045;2018;12;4;2
110045;2019;12;1;3
110045;2019;12;4;2
110045;2020;12;70;9
110045;2021;12;70;9
110045;2022;12;70;9
110050;2013;12;1;1
110050;2013;12;4;1
110050;2014;12;1;1
110050;2014;12;4;1
110050;2015;12;1;2
110050;2015;12;4;1
110050;2016;12;4;1
110050;2017;12;1;2
110050;2017;12;4;1
110050;2018;12;1;2
110050;2018;12;4;1
110050;2019;12;1;2
110050;2019;12;4;1
110050;2020;12;70;4
110050;2021;12;70;4
110050;2022;12;70;4
110060;2013;12;4;1
110060;2014;12;4;1
110060;2015;12;4;1
110060;2016;12;1;1
110060;2016;12;4;1
110060;2017;12;1;1
110060;2017;12;4;1
110060;2018;12;4;1
110060;2019;12;4;1
110060;2020;12;70;3
110060;2021;12;70;3
110060;2022;12;70;3
110070;2013;12;1;3
110070;2014;12;1;3
110070;2015;12;1;4
110070;2016;12;1;3
110070;2017;12;1;3
110070;2018;12;1;3
110070;2019;12;1;4
110070;2020;12;70;4
110070;2021;12;70;4
110070;2022;12;70;4
110080;2016;12;1;3
110080;2017;12;1;2
110080;2018;12;1;3
110080;2019;12;1;5
110080;2020;12;70;8
110080;2021;12;70;8
110080;2022;12;70;8
110090;2020;12;70;2
110090;2021;12;70;2
110090;2022;12;70;2
110092;2013;12;1;1
110092;2014;12;1;1
110092;2015;12;1;1
110092;2016;12;1;4
110092;2017;12;1;4
110092;2018;12;1;4
110092;2019;12;1;4
110092;2020;12;70;4
110092;2021;12;70;4
110092;2022;12;70;4
