ESTADO_CODIGO;ESTADO_NOME;QUANTIDADE_LEITOS;ANO;MES
31;Minas Gerais;442;2019;12
32;Espírito Santo;40;2019;12
33;Rio de Janeiro;203;2019;12
35;São Paulo;214;2019;12
41;Paraná;169;2019;12
42;Santa Catarina;95;2019;12
43;Rio Grande do Sul;617;2019;12
50;Mato Grosso do Sul;13;2019;12
51;Mato Grosso;3;2019;12
52;Goiás;30;2019;12
53;Distrito Federal;45;2019;12
11;Rondônia;12;2020;12
12;Acre;18;2020;12
14;Roraima;11;2020;12
15;Pará;20;2020;12
17;Tocantins;21;2020;12
22;Piauí;23;2020;12
23;Ceará;82;2020;12
24;Rio Grande do Norte;11;2020;12
25;Paraíba;20;2020;12
26;Pernambuco;93;2020;12
27;Alagoas;23;2020;12
28;Sergipe;30;2020;12
29;Bahia;2;2020;12
31;Minas Gerais;381;2020;12
32;Espírito Santo;18;2020;12
33;Rio de Janeiro;165;2020;12
35;São Paulo;160;2020;12
41;Paraná;111;2020;12
42;Santa Catarina;79;2020;12
43;Rio Grande do Sul;464;2020;12
50;Mato Grosso do Sul;13;2020;12
52;Goiás;29;2020;12
53;Distrito Federal;45;2020;12
11;Rondônia;15;2021;12
12;Acre;18;2021;12
13;Amazonas;4;2021;12
14;Roraima;11;2021;12
15;Pará;32;2021;12
17;Tocantins;21;2021;12
21;Maranhão;130;2021;12
22;Piauí;31;2021;12
23;Ceará;101;2021;12
24;Rio Grande do Norte;67;2021;12
25;Paraíba;35;2021;12
26;Pernambuco;119;2021;12
27;Alagoas;31;2021;12
28;Sergipe;14;2021;12
29;Bahia;25;2021;12
31;Minas Gerais;466;2021;12
32;Espírito Santo;56;2021;12
33;Rio de Janeiro;213;2021;12
35;São Paulo;217;2021;12
41;Paraná;208;2021;12
42;Santa Catarina;105;2021;12
43;Rio Grande do Sul;604;2021;12
50;Mato Grosso do Sul;13;2021;12
51;Mato Grosso;4;2021;12
52;Goiás;29;2021;12
53;Distrito Federal;59;2021;12
11;Rondônia;12;2022;12
12;Acre;18;2022;12
13;Amazonas;7;2022;12
14;Roraima;11;2022;12
15;Pará;52;2022;12
17;Tocantins;21;2022;12
21;Maranhão;111;2022;12
22;Piauí;39;2022;12
23;Ceará;105;2022;12
24;Rio Grande do Norte;69;2022;12
25;Paraíba;35;2022;12
26;Pernambuco;155;2022;12
27;Alagoas;31;2022;12
28;Sergipe;29;2022;12
29;Bahia;37;2022;12
31;Minas Gerais;515;2022;12
32;Espírito Santo;52;2022;12
33;Rio de Janeiro;213;2022;12
35;São Paulo;217;2022;12
41;Paraná;196;2022;12
42;Santa Catarina;91;2022;12
43;Rio Grande do Sul;681;2022;12
50;Mato Grosso do Sul;13;2022;12
51;Mato Grosso;4;2022;12
52;Goiás;42;2022;12
53;Distrito Federal;59;2022;12
