MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
231140;06-2021;F10;1
231140;07-2021;F10;1
231140;08-2021;F10;2
231140;09-2021;F10;1
231140;10-2021;F10;1
231140;11-2021;F10;2
231150;04-2021;F10;1
231180;03-2021;F10;1
231180;04-2021;F10;1
231180;06-2021;F10;1
231180;07-2021;F10;1
231190;12-2021;F10;1
231200;01-2021;F10;1
231210;06-2021;F10;1
231220;02-2021;F10;1
231230;05-2021;F10;1
231230;09-2021;F10;1
231230;10-2021;F13;1
231230;12-2021;F10;1
231240;01-2021;F10;1
231240;06-2021;F10;1
231240;07-2021;F10;1
231240;12-2021;F10;2
231270;08-2021;F10;1
231270;10-2021;F10;1
231290;01-2021;F10;1
231290;01-2021;F19;1
231290;02-2021;F10;1
231290;04-2021;F10;2
231290;05-2021;F10;1
231290;06-2021;F10;1
231290;10-2021;F10;3
231290;11-2021;F10;1
231290;12-2021;F10;1
231300;10-2021;F10;1
231330;01-2021;F10;1
231330;08-2021;F10;1
231330;11-2021;F10;1
231340;01-2021;F10;1
231340;02-2021;F10;2
231340;04-2021;F10;3
231340;05-2021;F10;1
231370;10-2021;F10;1
231375;01-2021;F10;1
231380;05-2021;F10;1
231395;12-2021;F10;1
231400;05-2021;F10;1
231400;08-2021;F10;1
231400;10-2021;F10;1
231400;11-2021;F10;1
231410;01-2021;F10;2
231410;02-2021;F10;1
231410;03-2021;F10;2
231410;04-2021;F10;2
231410;05-2021;F10;1
231410;06-2021;F10;1
231410;09-2021;F10;2
231410;11-2021;F10;2
240020;07-2021;F10;1
240020;09-2021;F10;1
240030;11-2021;F10;1
240030;12-2021;F10;1
240080;06-2021;F10;1
240090;09-2021;F10;1
240110;05-2021;F10;1
240110;06-2021;F10;1
240150;01-2021;F10;1
240200;01-2021;F10;1
240200;02-2021;F19;1
240200;06-2021;F10;1
240200;10-2021;F10;1
240220;12-2021;F10;2
240230;12-2021;F10;1
240260;03-2021;F10;1
240260;07-2021;F10;1
240260;08-2021;F10;2
240300;01-2021;F10;1
240325;12-2021;F10;1
240330;06-2021;F10;1
240350;12-2021;F10;1
240400;11-2021;F10;1
240430;05-2021;F10;1
240450;02-2021;F10;1
240450;11-2021;F10;1
240470;09-2021;F10;1
240485;07-2021;F10;1
240560;11-2021;F10;1
240570;01-2021;F10;1
240580;03-2021;F10;2
240580;08-2021;F10;1
240600;04-2021;F10;1
240620;11-2021;F10;1
240670;05-2021;F10;1
240710;08-2021;F10;1
240720;06-2021;F10;1
240740;09-2021;F10;1
240750;09-2021;F10;1
240780;01-2021;F10;2
240780;08-2021;F10;1
240800;02-2021;F10;1
240800;04-2021;F10;1
240800;05-2021;F10;1
240800;10-2021;F10;1
240800;11-2021;F10;2
240800;12-2021;F10;2
240810;01-2021;F10;2
240810;02-2021;F10;3
240810;03-2021;F10;1
240810;04-2021;F10;2
240810;05-2021;F10;3
240810;06-2021;F10;1
240810;07-2021;F10;1
240810;08-2021;F10;2
240810;10-2021;F10;3
240810;12-2021;F10;3
240820;05-2021;F10;1
240830;03-2021;F10;1
240830;09-2021;F10;1
240910;06-2021;F10;1
240940;01-2021;F10;3
240940;02-2021;F10;1
240940;03-2021;F10;1
240940;04-2021;F10;1
240940;11-2021;F10;1
240950;03-2021;F10;1
240980;01-2021;F10;1
240980;05-2021;F10;2
240990;01-2021;F10;1
240990;04-2021;F10;1
240990;08-2021;F10;1
241040;01-2021;F10;1
241080;12-2021;F10;1
241140;02-2021;F10;1
241140;08-2021;F10;1
241150;09-2021;F10;1
241180;11-2021;F10;1
241200;05-2021;F10;1
241210;02-2021;F10;1
241250;06-2021;F10;1
241255;10-2021;F10;1
241340;01-2021;F10;1
241355;03-2021;F10;1
241415;09-2021;F10;1
241420;06-2021;F10;1
241440;12-2021;F10;1
241480;02-2021;F10;2
241480;08-2021;F10;1
241500;08-2021;F10;1
250030;11-2021;F10;1
250040;01-2021;F10;1
250050;01-2021;F19;1
250060;06-2021;F10;1
250060;12-2021;F10;1
250130;02-2021;F10;1
250150;05-2021;F10;1
250150;10-2021;F10;1
250150;10-2021;F13;1
250160;02-2021;F10;1
250180;02-2021;F10;1
250180;05-2021;F10;1
250180;07-2021;F10;1
250180;11-2021;F10;1
250180;12-2021;F10;1
250300;12-2021;F10;1
250320;01-2021;F10;1
250320;05-2021;F10;1
250370;02-2021;F10;2
250370;04-2021;F10;1
250370;06-2021;F10;1
250370;07-2021;F10;1
250370;07-2021;F14;1
250370;10-2021;F10;1
250370;11-2021;F10;1
250370;12-2021;F10;1
250400;04-2021;F10;1
250400;05-2021;F10;2
250400;06-2021;F10;6
250400;07-2021;F10;2
250400;08-2021;F10;1
250400;09-2021;F10;2
250400;10-2021;F10;1
250400;11-2021;F10;2
250400;12-2021;F10;2
250430;07-2021;F10;1
250460;05-2021;F10;1
250510;03-2021;F10;1
250510;10-2021;F10;1
250580;09-2021;F10;1
250600;07-2021;F10;1
250600;08-2021;F10;1
250600;12-2021;F10;1
250630;06-2021;F10;1
250630;08-2021;F10;1
250630;12-2021;F10;2
250690;01-2021;F10;1
250690;10-2021;F10;2
250700;04-2021;F10;1
250730;04-2021;F10;1
250750;01-2021;F10;1
250750;02-2021;F10;3
250750;03-2021;F10;1
250750;04-2021;F10;1
250750;05-2021;F10;2
250750;06-2021;F10;2
250750;07-2021;F10;3
250750;09-2021;F10;5
250750;10-2021;F10;2
250750;11-2021;F10;3
250750;12-2021;F10;3
250860;04-2021;F10;1
250890;08-2021;F10;1
250890;12-2021;F10;1
250905;03-2021;F10;1
250905;06-2021;F10;1
250910;01-2021;F10;1
250939;10-2021;F10;1
250970;05-2021;F10;1
250990;08-2021;F10;1
251020;11-2021;F10;1
251080;01-2021;F10;2
251080;02-2021;F10;1
251080;03-2021;F10;2
251080;04-2021;F10;1
251080;11-2021;F10;1
251090;11-2021;F10;1
251120;05-2021;F10;3
251120;07-2021;F10;1
251140;08-2021;F10;1
251150;04-2021;F10;1
