ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;CO_CEP;ANO;MES;REGIAO_SAUDE_POPULACAO;TIPO;REGIAO_SAUDE_QTDE_CAPS;REGIAO_SAUDE_IC
11;RO;Rondônia;11006;Cone Sul;76997000,0;2020;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76997000,0;2021;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76997000,0;2022;12;150724;CAPS I;1;0,3317321727130384
12;AC;Acre;12001;Alto Acre;69932000,0;2018;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69932000,0;2019;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69932000,0;2020;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69932000,0;2021;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69932000,0;2022;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69934000,0;2018;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69934000,0;2019;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69934000,0;2020;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69934000,0;2021;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12001;Alto Acre;69934000,0;2022;12;70821;CAPS I;1;0,7060052809195013
12;AC;Acre;12002;Baixo Acre e Purus;69900460,0;2018;12;523732;CAPS II;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69900460,0;2019;12;523732;CAPS II;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69900460,0;2020;12;523732;CAPS II;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69900460,0;2021;12;523732;CAPS II;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69900460,0;2022;12;523732;CAPS II;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69918452,0;2018;12;523732;CAPS AD;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69918452,0;2019;12;523732;CAPS AD;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69918452,0;2020;12;523732;CAPS AD;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69918452,0;2021;12;523732;CAPS AD;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69918452,0;2022;12;523732;CAPS AD;1;0,19093734963683717
12;AC;Acre;12002;Baixo Acre e Purus;69931000,0;2018;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69931000,0;2019;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69931000,0;2020;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69931000,0;2021;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69931000,0;2022;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69940000,0;2018;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69940000,0;2019;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69940000,0;2020;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69940000,0;2021;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69940000,0;2022;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69945000,0;2020;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69945000,0;2021;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12002;Baixo Acre e Purus;69945000,0;2022;12;523732;CAPS I;1;0,09546867481841859
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2018;12;235227;CAPS II;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2019;12;235227;CAPS II;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2020;12;235227;CAPS II;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2021;12;235227;CAPS II;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2021;12;235227;CAPS IJ;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2022;12;235227;CAPS II;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69980000,0;2022;12;235227;CAPS IJ;1;0,4251212658410812
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69990000,0;2018;12;235227;CAPS I;1;0,2125606329205406
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69990000,0;2019;12;235227;CAPS I;1;0,2125606329205406
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69990000,0;2020;12;235227;CAPS I;1;0,2125606329205406
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69990000,0;2021;12;235227;CAPS I;1;0,2125606329205406
12;AC;Acre;12003;Juruá e Tarauacá/Envira;69990000,0;2022;12;235227;CAPS I;1;0,2125606329205406
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69001009,0;2021;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69001009,0;2022;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69055021,0;2018;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69055021,0;2019;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69055021,0;2020;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69055021,0;2021;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69055021,0;2022;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69058330,0;2020;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69058330,0;2021;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69058330,0;2022;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69059140,0;2018;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69059140,0;2019;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69059140,0;2020;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69059140,0;2021;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69059140,0;2022;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69060550,0;2018;12;2391219;CAPS AD;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69060550,0;2019;12;2391219;CAPS AD;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69060550,0;2020;12;2391219;CAPS AD;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69060550,0;2021;12;2391219;CAPS AD;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69060550,0;2022;12;2391219;CAPS AD;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69082653,0;2018;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69082653,0;2019;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69082653,0;2020;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69082653,0;2021;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69082653,0;2022;12;2391219;CAPS IJ;1;0,04181967440037905
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2018;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2018;12;2391219;CAPS III;1;0,06272951160056858
