ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;REGIAO_SAUDE_POPULACAO
31;MG;Minas Gerais;31096;Itambacuri;40022
31;MG;Minas Gerais;31097;Juiz de Fora;608847
31;MG;Minas Gerais;31098;salinas;63742
31;MG;Minas Gerais;31099;Teófilo Otoni / Malacacheta;265300
32;ES;Espírito Santo;32002;Metropolitana;2383044
32;ES;Espírito Santo;32004;Sul;678629
32;ES;Espírito Santo;32005;Central Norte;913427
33;RJ;Rio de Janeiro;33001;Baia da Ilha Grande;270773
33;RJ;Rio de Janeiro;33002;Baixada Litorânea;824674
33;RJ;Rio de Janeiro;33003;Centro-Sul;321895
33;RJ;Rio de Janeiro;33004;Médio Paraíba;873213
33;RJ;Rio de Janeiro;33005;Metropolitana I;10089639
33;RJ;Rio de Janeiro;33006;Metropolitana II;2015798
33;RJ;Rio de Janeiro;33007;Noroeste;333095
33;RJ;Rio de Janeiro;33008;Norte;913450
33;RJ;Rio de Janeiro;33009;Serrana;972989
35;SP;São Paulo;35011;Alto do Tietê;3106798
35;SP;São Paulo;35012;Franco da Rocha;655305
35;SP;São Paulo;35013;Mananciais;1182458
35;SP;São Paulo;35014;Rota dos Bandeirantes;2076368
35;SP;São Paulo;35015;Grande ABC;2725209
35;SP;São Paulo;35016;São Paulo;12200180
35;SP;São Paulo;35021;Central do DRS II;311205
35;SP;São Paulo;35022;Lagos do DRS II;196228
35;SP;São Paulo;35023;Consórcios do DRS II;263434
35;SP;São Paulo;35031;Central do DRS III;321208
35;SP;São Paulo;35032;Centro Oeste do DRS III;136493
35;SP;São Paulo;35033;Norte do DRS III;146777
35;SP;São Paulo;35034;Coração do DRS III;392670
35;SP;São Paulo;35041;Baixada Santista;1835584
35;SP;São Paulo;35051;Norte - Barretos;282970
35;SP;São Paulo;35052;Sul - Barretos;142131
35;SP;São Paulo;35061;Vale do Jurumirim;302481
35;SP;São Paulo;35062;Bauru;651746
35;SP;São Paulo;35063;Polo Cuesta;308962
35;SP;São Paulo;35064;Jaú;322857
35;SP;São Paulo;35065;Lins;156807
35;SP;São Paulo;35071;Bragança;520134
35;SP;São Paulo;35072;Região Metropolitana de Campinas;3255127
35;SP;São Paulo;35073;Jundiaí;878678
35;SP;São Paulo;35074;Circuito das Águas;133777
35;SP;São Paulo;35081;Três Colinas;442116
35;SP;São Paulo;35082;Alta Anhanguera;146033
35;SP;São Paulo;35083;Alta Mogiana;110699
35;SP;São Paulo;35091;Adamantina;128183
35;SP;São Paulo;35092;Assis;233355
35;SP;São Paulo;35093;Marília;381781
35;SP;São Paulo;35094;Ourinhos;235560
35;SP;São Paulo;35095;Tupã;125466
35;SP;São Paulo;35101;Araras;334615
35;SP;São Paulo;35102;Limeira;373641
35;SP;São Paulo;35103;Piracicaba;619711
35;SP;São Paulo;35104;Rio Claro;263610
35;SP;São Paulo;35111;Alta Paulista;132234
35;SP;São Paulo;35112;Alta Sorocabana;406730
35;SP;São Paulo;35113;Alto Capivari;56022
35;SP;São Paulo;35114;Extremo Oeste Paulista;87266
35;SP;São Paulo;35115;Pontal do Paranapanema;62767
35;SP;São Paulo;35121;Vale do Ribeira;289797
35;SP;São Paulo;35131;Horizonte Verde;414404
35;SP;São Paulo;35132;Aquífero Guarani;919373
35;SP;São Paulo;35133;Vale das Cachoeiras;137047
35;SP;São Paulo;35141;Baixa Mogiana;327316
35;SP;São Paulo;35142;Mantiqueira;266644
35;SP;São Paulo;35143;Rio Pardo;203125
35;SP;São Paulo;35151;Catanduva;297342
35;SP;São Paulo;35152;Santa Fé do Sul;52764
35;SP;São Paulo;35153;Jales;102623
35;SP;São Paulo;35154;Fernandópolis;122164
35;SP;São Paulo;35155;São José do Rio Preto;760304
35;SP;São Paulo;35156;José Bonifácio;100419
35;SP;São Paulo;35157;Votuporanga;198477
35;SP;São Paulo;35161;Itapetininga;503118
35;SP;São Paulo;35162;Itapeva;278735
35;SP;São Paulo;35163;Sorocaba;1848052
35;SP;São Paulo;35171;Alto Vale do Paraíba;1127339
35;SP;São Paulo;35172;Circuito da Fé e Vale Histórico;456451
35;SP;São Paulo;35173;Litoral Norte;356118
35;SP;São Paulo;35174;Vale do Paraíba/Região Serrana;617949
41;PR;Paraná;41001;1ª RS Paranaguá;315144
41;PR;Paraná;41002;2ª RS Metropolitana;3742171
41;PR;Paraná;41003;3ª RS Ponta Grossa;675714
41;PR;Paraná;41004;4ª RS Irati;165565
41;PR;Paraná;41005;5ª RS Guarapuava;463694
41;PR;Paraná;41006;6ª RS União da Vitória;164120
41;PR;Paraná;41007;7ª RS Pato Branco;287428
41;PR;Paraná;41008;8ª RS Francisco Beltrão;371437
41;PR;Paraná;41009;9ª RS Foz do Iguaçu;445448
41;PR;Paraná;41010;10ª RS Cascavel;581990
41;PR;Paraná;41011;11ª RS Campo Mourão;342594
41;PR;Paraná;41012;12ª RS Umuarama;289865
41;PR;Paraná;41013;13ª RS Cianorte;159313
41;PR;Paraná;41014;14ª RS Paranavaí;271637
41;PR;Paraná;41015;15ª RS Maringá;930490
41;PR;Paraná;41016;16ª RS Apucarana;387019
41;PR;Paraná;41017;17ª RS Londrina;986527
41;PR;Paraná;41018;18ª RS Cornélio Procópio;214293
41;PR;Paraná;41019;19ª RS Jacarezinho;299529
41;PR;Paraná;41020;20ª RS Toledo;425785
41;PR;Paraná;41021;21ª RS Telêmaco Borba;179380
41;PR;Paraná;41022;22ª RS Ivaiporã;136236
