ESTADO_CODIGO;MUNICIPIO_CODIGO;SERVICO_ESPECIALIZADO_CODIGO;SERVICO_ESPECIALIZADO_CLASSIFICACAO_CODIGO;ANO;TOTAL_SERVICO_HOSPITALAR_SAUDE_MENTAL
13;130190;115;2;2021;7
13;130190;115;2;2022;7
13;130195;115;2;2021;1
13;130195;115;2;2022;1
13;130240;115;2;2018;1
13;130240;115;2;2019;1
13;130240;115;2;2020;1
13;130240;115;2;2021;2
13;130240;115;2;2022;2
13;130250;115;2;2018;4
13;130250;115;2;2019;5
13;130250;115;2;2020;5
13;130250;115;2;2021;5
13;130250;115;2;2022;5
13;130250;115;3;2022;1
13;130255;115;2;2019;1
13;130255;115;2;2020;1
13;130255;115;2;2021;1
13;130255;115;2;2022;1
13;130255;115;3;2022;1
13;130260;115;2;2018;58
13;130260;115;2;2019;59
13;130260;115;2;2020;66
13;130260;115;2;2021;80
13;130260;115;2;2022;85
13;130260;115;3;2018;1
13;130260;115;3;2019;1
13;130260;115;3;2020;1
13;130260;115;3;2021;1
13;130260;115;3;2022;1
13;130270;115;2;2018;1
13;130270;115;2;2019;1
13;130270;115;2;2020;1
13;130270;115;2;2021;1
13;130270;115;2;2022;1
13;130270;115;3;2020;1
13;130270;115;3;2021;1
13;130270;115;3;2022;1
13;130290;115;2;2018;1
13;130290;115;2;2019;1
13;130290;115;2;2020;1
13;130290;115;2;2021;3
13;130290;115;2;2022;3
13;130290;115;3;2022;1
13;130310;115;2;2018;1
13;130310;115;2;2019;1
13;130310;115;2;2020;1
13;130310;115;2;2021;2
13;130310;115;2;2022;2
13;130330;115;2;2018;1
13;130330;115;2;2019;1
13;130330;115;2;2020;2
13;130330;115;2;2021;2
13;130330;115;2;2022;2
13;130340;115;2;2018;4
13;130340;115;2;2019;5
13;130340;115;2;2020;5
13;130340;115;2;2021;5
13;130340;115;2;2022;7
13;130340;115;3;2018;2
13;130340;115;3;2019;2
13;130340;115;3;2020;2
13;130340;115;3;2021;2
13;130340;115;3;2022;2
13;130350;115;2;2021;1
13;130350;115;2;2022;1
13;130353;115;2;2022;1
13;130353;115;3;2022;1
13;130356;115;2;2018;2
13;130356;115;2;2019;2
13;130356;115;2;2020;2
13;130356;115;2;2021;2
13;130356;115;2;2022;1
13;130360;115;2;2022;1
13;130380;115;2;2018;1
13;130380;115;2;2019;1
13;130380;115;2;2020;1
13;130380;115;2;2021;1
13;130380;115;2;2022;1
13;130390;115;2;2018;3
13;130390;115;2;2019;3
13;130390;115;2;2020;3
13;130390;115;2;2021;4
13;130390;115;2;2022;4
13;130395;115;2;2022;1
13;130406;115;2;2018;1
13;130406;115;2;2019;1
13;130406;115;2;2020;1
13;130406;115;2;2021;1
13;130406;115;2;2022;1
13;130406;115;3;2022;1
13;130410;115;2;2019;1
13;130410;115;2;2020;1
13;130410;115;2;2021;1
13;130410;115;2;2022;1
13;130410;115;3;2021;1
13;130410;115;3;2022;1
13;130420;115;2;2018;1
13;130420;115;2;2019;1
13;130420;115;2;2020;1
13;130420;115;2;2021;2
13;130420;115;2;2022;2
13;130420;115;3;2018;1
13;130420;115;3;2019;1
13;130420;115;3;2020;1
13;130420;115;3;2021;1
13;130420;115;3;2022;1
13;130423;115;2;2020;1
13;130423;115;2;2021;1
13;130423;115;2;2022;1
14;140005;115;2;2018;1
14;140005;115;2;2019;1
14;140005;115;2;2020;1
14;140005;115;2;2021;1
14;140005;115;2;2022;1
14;140010;115;2;2018;27
14;140010;115;2;2019;28
14;140010;115;2;2020;28
14;140010;115;2;2021;30
14;140010;115;2;2022;34
14;140010;115;3;2018;1
14;140010;115;3;2019;1
14;140010;115;3;2020;2
14;140010;115;3;2021;2
14;140010;115;3;2022;2
14;140015;115;2;2018;1
14;140015;115;2;2019;1
14;140015;115;2;2020;1
14;140015;115;2;2021;1
14;140015;115;2;2022;1
14;140017;115;2;2018;1
14;140017;115;2;2019;1
14;140017;115;2;2020;1
14;140017;115;2;2021;1
14;140017;115;2;2022;1
14;140020;115;2;2018;1
14;140020;115;2;2019;1
14;140020;115;2;2020;1
14;140020;115;2;2021;1
14;140020;115;2;2022;1
14;140023;115;2;2018;1
14;140023;115;2;2019;1
14;140023;115;2;2020;1
14;140023;115;2;2021;1
14;140023;115;2;2022;1
14;140028;115;2;2018;2
14;140028;115;2;2019;1
14;140028;115;2;2020;1
14;140028;115;2;2021;1
14;140028;115;2;2022;1
14;140030;115;2;2018;1
14;140030;115;2;2019;1
14;140030;115;2;2020;1
14;140030;115;2;2021;1
14;140030;115;2;2022;1
14;140040;115;2;2020;1
14;140040;115;2;2021;1
14;140040;115;2;2022;1
14;140045;115;2;2018;1
14;140045;115;2;2019;1
14;140045;115;2;2020;1
14;140045;115;2;2021;1
14;140045;115;2;2022;1
14;140047;115;2;2018;1
14;140047;115;2;2019;1
14;140047;115;2;2020;1
14;140047;115;2;2021;2
14;140047;115;2;2022;2
