ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F09;2018;2;4
53;F09;2018;3;7
53;F09;2018;4;7
53;F09;2018;5;8
53;F09;2018;6;15
53;F09;2018;7;8
53;F09;2018;8;8
53;F09;2018;9;8
53;F09;2018;10;12
53;F09;2018;11;13
53;F09;2018;12;3
53;F09;2019;1;11
53;F09;2019;2;9
53;F09;2019;3;8
53;F09;2019;4;10
53;F09;2019;5;6
53;F09;2019;6;10
53;F09;2019;7;10
53;F09;2019;8;19
53;F09;2019;9;15
53;F09;2019;10;14
53;F09;2019;11;12
53;F09;2019;12;12
53;F09;2020;1;25
53;F09;2020;2;12
53;F09;2020;3;7
53;F09;2020;4;8
53;F09;2020;5;6
53;F09;2020;6;14
53;F09;2020;7;15
53;F09;2020;8;22
53;F09;2020;9;20
53;F09;2020;10;7
53;F09;2020;11;6
53;F09;2020;12;8
53;F09;2021;1;21
53;F09;2021;2;15
53;F09;2021;3;12
53;F09;2021;4;9
53;F09;2021;5;13
53;F09;2021;6;9
53;F09;2021;7;15
53;F09;2021;8;12
53;F09;2021;9;19
53;F09;2021;10;19
53;F09;2021;11;16
53;F09;2021;12;7
53;F09;2022;1;13
53;F09;2022;2;8
53;F09;2022;3;16
53;F09;2022;4;14
53;F09;2022;5;10
53;F09;2022;6;8
53;F09;2022;7;18
53;F09;2022;8;14
53;F09;2022;9;12
53;F09;2022;10;13
53;F09;2022;11;17
53;F09;2022;12;4
53;F10;2018;1;85
53;F10;2018;2;50
53;F10;2018;3;58
53;F10;2018;4;97
53;F10;2018;5;70
53;F10;2018;6;91
53;F10;2018;7;71
53;F10;2018;8;69
53;F10;2018;9;62
53;F10;2018;10;64
53;F10;2018;11;55
53;F10;2018;12;54
53;F10;2019;1;91
53;F10;2019;2;84
53;F10;2019;3;77
53;F10;2019;4;83
53;F10;2019;5;83
53;F10;2019;6;66
53;F10;2019;7;75
53;F10;2019;8;92
53;F10;2019;9;91
53;F10;2019;10;66
53;F10;2019;11;52
53;F10;2019;12;80
53;F10;2020;1;90
53;F10;2020;2;78
53;F10;2020;3;93
53;F10;2020;4;96
53;F10;2020;5;89
53;F10;2020;6;71
53;F10;2020;7;47
53;F10;2020;8;64
53;F10;2020;9;54
53;F10;2020;10;43
53;F10;2020;11;55
53;F10;2020;12;64
53;F10;2021;1;61
53;F10;2021;2;57
53;F10;2021;3;47
53;F10;2021;4;33
53;F10;2021;5;60
53;F10;2021;6;67
53;F10;2021;7;46
53;F10;2021;8;55
53;F10;2021;9;49
53;F10;2021;10;48
53;F10;2021;11;54
53;F10;2021;12;55
53;F10;2022;1;47
53;F10;2022;2;48
