;ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL;PERCENTUAL
349;53;F07;2022;3;2;0,037112636852848394
350;53;F07;2022;4;1;0,018556318426424197
351;53;F07;2022;7;1;0,018556318426424197
352;53;F07;2022;10;1;0,018556318426424197
353;53;F07;2022;11;1;0,018556318426424197
354;53;F07;2022;12;2;0,037112636852848394
355;53;F09;2018;1;2;0,039077764751856196
356;53;F09;2018;2;4;0,07815552950371239
357;53;F09;2018;3;7;0,13677217663149666
358;53;F09;2018;4;7;0,13677217663149666
359;53;F09;2018;5;8;0,15631105900742479
360;53;F09;2018;6;15;0,29308323563892147
361;53;F09;2018;7;8;0,15631105900742479
362;53;F09;2018;8;8;0,15631105900742479
363;53;F09;2018;9;8;0,15631105900742479
364;53;F09;2018;10;12;0,23446658851113714
365;53;F09;2018;11;13;0,25400547088706527
366;53;F09;2018;12;3;0,058616647127784284
367;53;F09;2019;1;11;0,18269390466699884
368;53;F09;2019;2;9;0,14947683109118087
369;53;F09;2019;3;8;0,13286829430327188
370;53;F09;2019;4;10;0,16608536787908987
371;53;F09;2019;5;6;0,0996512207274539
372;53;F09;2019;6;10;0,16608536787908987
373;53;F09;2019;7;10;0,16608536787908987
374;53;F09;2019;8;19;0,3155621989702707
375;53;F09;2019;9;15;0,2491280518186348
376;53;F09;2019;10;14;0,2325195150307258
377;53;F09;2019;11;12;0,1993024414549078
378;53;F09;2019;12;12;0,1993024414549078
379;53;F09;2020;1;25;0,5185646131507986
380;53;F09;2020;2;12;0,24891101431238333
381;53;F09;2020;3;7;0,1451980916822236
382;53;F09;2020;4;8;0,16594067620825553
383;53;F09;2020;5;6;0,12445550715619166
384;53;F09;2020;6;14;0,2903961833644472
385;53;F09;2020;7;15;0,3111387678904792
386;53;F09;2020;8;22;0,45633685957270276
387;53;F09;2020;9;20;0,41485169052063886
388;53;F09;2020;10;7;0,1451980916822236
389;53;F09;2020;11;6;0,12445550715619166
390;53;F09;2020;12;8;0,16594067620825553
391;53;F09;2021;1;21;0,4227904167505537
392;53;F09;2021;2;15;0,30199315482182404
393;53;F09;2021;3;12;0,24159452385745925
394;53;F09;2021;4;9;0,18119589289309443
395;53;F09;2021;5;13;0,2617274008455808
396;53;F09;2021;6;9;0,18119589289309443
397;53;F09;2021;7;15;0,30199315482182404
398;53;F09;2021;8;12;0,24159452385745925
399;53;F09;2021;9;19;0,38252466277431046
400;53;F09;2021;10;19;0,38252466277431046
401;53;F09;2021;11;16;0,32212603180994565
402;53;F09;2021;12;7;0,14093013891685122
403;53;F09;2022;1;13;0,24123213954351458
404;53;F09;2022;2;8;0,14845054741139357
405;53;F09;2022;3;16;0,29690109482278715
406;53;F09;2022;4;14;0,25978845796993877
407;53;F09;2022;5;10;0,18556318426424198
408;53;F09;2022;6;8;0,14845054741139357
409;53;F09;2022;7;18;0,33401373167563553
410;53;F09;2022;8;14;0,25978845796993877
411;53;F09;2022;9;12;0,2226758211170904
412;53;F09;2022;10;13;0,24123213954351458
413;53;F09;2022;11;17;0,31545741324921134
414;53;F09;2022;12;4;0,07422527370569679
415;53;F10;2018;1;85;1,6608050019538885
416;53;F10;2018;2;50;0,9769441187964049
417;53;F10;2018;3;58;1,1332551778038296
418;53;F10;2018;4;97;1,8952715904650252
419;53;F10;2018;5;70;1,3677217663149668
420;53;F10;2018;6;91;1,7780382962094567
421;53;F10;2018;7;71;1,3872606486908947
422;53;F10;2018;8;69;1,3481828839390386
423;53;F10;2018;9;62;1,211410707307542
424;53;F10;2018;10;64;1,2504884720593983
425;53;F10;2018;11;55;1,0746385306760453
426;53;F10;2018;12;54;1,0550996483001172
427;53;F10;2019;1;91;1,5113768476997176
428;53;F10;2019;2;84;1,3951170901843548
429;53;F10;2019;3;77;1,2788573326689918
430;53;F10;2019;4;83;1,3785085533964458
431;53;F10;2019;5;83;1,3785085533964458
432;53;F10;2019;6;66;1,096163428001993
433;53;F10;2019;7;75;1,2456402590931739
434;53;F10;2019;8;92;1,5279853844876266
435;53;F10;2019;9;91;1,5113768476997176
436;53;F10;2019;10;66;1,096163428001993
437;53;F10;2019;11;52;0,8636439129712672
438;53;F10;2019;12;80;1,328682943032719
439;53;F10;2020;1;90;1,8668326073428747
440;53;F10;2020;2;78;1,6179215930304918
