MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
220110.0;05-2013;F10;1
220110.0;08-2013;F10;1
220120.0;10-2013;F10;1
220150.0;01-2013;F10;1
220150.0;06-2013;F10;1
220150.0;07-2013;F10;1
220157.0;08-2013;F10;1
220173.0;08-2013;F10;1
220173.0;11-2013;F10;1
220190.0;12-2013;F10;1
220200.0;09-2013;F10;1
220200.0;10-2013;F10;1
220207.0;09-2013;F19;1
220213.0;05-2013;F10;1
220220.0;02-2013;F10;1
220220.0;05-2013;F10;1
220220.0;07-2013;F10;1
220230.0;02-2013;F10;1
220230.0;05-2013;F10;1
220230.0;11-2013;F10;1
220253.0;01-2013;F10;1
220255.0;10-2013;F10;1
220270.0;01-2013;F10;1
220270.0;11-2013;F10;1
220273.0;04-2013;F10;1
220290.0;01-2013;F10;2
220290.0;07-2013;F10;1
220290.0;12-2013;F10;1
220310.0;05-2013;F10;1
220340.0;07-2013;F10;1
220370.0;01-2013;F10;1
220370.0;02-2013;F10;3
220380.0;10-2013;F10;1
220390.0;01-2013;F10;2
220390.0;02-2013;F10;2
220390.0;03-2013;F10;1
220390.0;05-2013;F10;2
220390.0;08-2013;F10;1
220390.0;10-2013;F19;1
220430.0;10-2013;F10;1
220440.0;12-2013;F10;1
220470.0;02-2013;F10;1
220480.0;11-2013;F10;1
220490.0;12-2013;F10;1
220520.0;07-2013;F10;1
220520.0;08-2013;F10;1
220525.0;07-2013;F10;1
220550.0;02-2013;F10;1
220550.0;09-2013;F10;2
220558.0;02-2013;F10;1
220580.0;01-2013;F10;1
220600.0;04-2013;F10;1
220667.0;05-2013;F10;1
220680.0;05-2013;F10;1
220700.0;03-2013;F10;1
220700.0;09-2013;F10;2
220740.0;08-2013;F10;1
220750.0;06-2013;F10;1
220750.0;11-2013;F10;1
220760.0;07-2013;F19;1
220770.0;01-2013;F10;1
220770.0;02-2013;F10;1
220770.0;03-2013;F10;1
220770.0;04-2013;F11;1
220770.0;05-2013;F10;1
220770.0;12-2013;F10;1
220780.0;01-2013;F10;1
220780.0;05-2013;F10;1
220800.0;03-2013;F10;1
220800.0;06-2013;F10;1
220800.0;07-2013;F10;2
220800.0;08-2013;F10;1
220800.0;11-2013;F10;1
220800.0;12-2013;F10;2
220810.0;10-2013;F10;1
220820.0;08-2013;F10;1
220820.0;12-2013;F10;1
220830.0;08-2013;F10;1
220830.0;12-2013;F10;1
220840.0;03-2013;F10;1
220840.0;04-2013;F10;1
220840.0;09-2013;F10;1
220840.0;10-2013;F10;1
220850.0;07-2013;F10;1
220865.0;04-2013;F10;1
220960.0;07-2013;F10;1
221020.0;12-2013;F10;1
221050.0;02-2013;F10;1
221060.0;01-2013;F10;1
221060.0;02-2013;F10;1
221060.0;07-2013;F10;1
221070.0;01-2013;F10;1
221080.0;02-2013;F10;1
221080.0;12-2013;F10;1
221100.0;01-2013;F10;4
221100.0;02-2013;F10;3
221100.0;02-2013;F19;1
221100.0;03-2013;F10;3
221100.0;04-2013;F10;1
221100.0;05-2013;F10;2
221100.0;06-2013;F10;2
221100.0;06-2013;F19;1
221100.0;07-2013;F10;7
221100.0;08-2013;F10;3
221100.0;08-2013;F19;1
221100.0;09-2013;F10;5
221100.0;10-2013;F10;4
221100.0;11-2013;F10;5
221100.0;11-2013;F19;1
221100.0;12-2013;F10;1
221100.0;12-2013;F14;1
221100.0;12-2013;F16;1
221110.0;05-2013;F10;1
221120.0;04-2013;F10;1
221135.0;11-2013;F10;1
230010.0;08-2013;F10;1
230015.0;04-2013;F10;1
230020.0;02-2013;F10;1
230020.0;04-2013;F10;1
230030.0;07-2013;F10;1
230040.0;01-2013;F10;2
230040.0;06-2013;F10;2
230040.0;11-2013;F10;1
230070.0;06-2013;F10;1
230075.0;01-2013;F10;1
230075.0;03-2013;F10;1
230075.0;04-2013;F10;1
230075.0;07-2013;F10;1
230080.0;03-2013;F10;1
230100.0;03-2013;F10;1
230100.0;04-2013;F10;1
230110.0;01-2013;F10;1
230110.0;02-2013;F10;1
230110.0;08-2013;F10;1
230110.0;10-2013;F10;1
230120.0;03-2013;F10;1
230120.0;07-2013;F10;2
230120.0;08-2013;F10;1
230120.0;09-2013;F10;1
230120.0;10-2013;F10;1
230125.0;08-2013;F10;1
230125.0;09-2013;F10;2
230130.0;07-2013;F10;1
230130.0;08-2013;F10;2
230130.0;12-2013;F10;1
230140.0;10-2013;F10;1
230150.0;01-2013;F10;1
230150.0;10-2013;F10;1
230160.0;03-2013;F10;1
230170.0;08-2013;F10;1
230170.0;10-2013;F10;1
230190.0;02-2013;F10;1
230190.0;03-2013;F10;1
230190.0;05-2013;F10;1
230195.0;01-2013;F10;1
230195.0;05-2013;F10;1
230195.0;12-2013;F10;1
230200.0;05-2013;F10;1
230210.0;01-2013;F10;2
230210.0;02-2013;F10;1
230210.0;07-2013;F10;1
230210.0;12-2013;F10;1
230220.0;02-2013;F10;1
230220.0;11-2013;F10;1
230230.0;06-2013;F10;1
230230.0;12-2013;F10;1
230240.0;09-2013;F10;1
230250.0;02-2013;F10;2
230250.0;04-2013;F10;1
230250.0;05-2013;F10;1
230250.0;09-2013;F10;1
230260.0;04-2013;F10;1
230260.0;09-2013;F10;2
230270.0;04-2013;F10;1
230280.0;05-2013;F10;1
230280.0;06-2013;F10;2
230280.0;07-2013;F10;1
230280.0;11-2013;F10;1
230290.0;04-2013;F10;1
230290.0;05-2013;F10;1
230290.0;06-2013;F10;1
230290.0;07-2013;F10;1
230300.0;04-2013;F10;1
230320.0;10-2013;F10;1
230320.0;11-2013;F10;1
230320.0;12-2013;F10;1
230340.0;01-2013;F10;1
230340.0;12-2013;F10;1
230350.0;03-2013;F10;1
230350.0;04-2013;F10;2
230350.0;05-2013;F10;2
230350.0;09-2013;F10;1
230350.0;10-2013;F10;1
230350.0;11-2013;F10;1
230350.0;12-2013;F10;2
230370.0;01-2013;F10;5
230370.0;02-2013;F10;2
230370.0;03-2013;F10;5
230370.0;04-2013;F10;5
230370.0;05-2013;F10;6
230370.0;07-2013;F10;2
